modified a workflow state,modificou uma etapa
No filters found,Nenhum filtro encontrado
No failed logs,Nenhum registro com falha
No documents found tagged with {0},Nenhum documento encontrado marcado com {0}
No data to export,Nenhum dado para exportar
No contacts linked to document,Nenhum contato vinculado ao documento
No conditions provided,Nenhuma condição fornecida
No activity,Nenhuma atividade
No Upcoming Events,Não há eventos futuros
No Name Specified for {0},Nenhum nome especificado para {0}
No More Activity,Não há mais atividade
No Google Calendar Event to sync.,Nenhum evento do Google Agenda para sincronizar.
No Events Today,Hoje não há eventos
Newsletter should have atleast one recipient,O boletim deve ter pelo menos um destinatário
New {0}: {1},Novo {0}: {1}
New Notification,Nova notificação
Navigate list up,Navegar pela lista
Navigate list down,Navegar pela lista
Navigate Home,Navegue para casa
Naming Series,Série de Atrib. de Nomes
Monthly Long,Mensalmente Longo
Modules,módulos
Mention,Menção
Me,Eu
Maximum points allowed after multiplying points with the multiplier value\n(Note: For no limit leave this field empty or set 0),"Número máximo de pontos permitido após a multiplicação de pontos pelo valor multiplicador (Nota: para sem limite, deixe este campo vazio ou defina 0)"
Maximum Points,Pontos Máximos
Mark all as Read,Marcar tudo como lido
Mapping column {0} to field {1},Mapeando a coluna {0} para o campo {1}
Map columns from {0} to fields in {1},Mapeie colunas de {0} para campos em {1}
Map Columns,Colunas do mapa
Mandatory Depends On,Obrigatório Depende
Make all attachments private,Tornar todos os anexos privados
Maintains a log of every event consumed along with the status of the sync and a Resync button in case sync fails.,"Mantém um log de todos os eventos consumidos, juntamente com o status da sincronização e um botão Resync, caso a sincronização falhe."
"Maintains a Log of all inserts, updates and deletions on Event Producer site for documents that have consumers.","Mantém um log de todas as inserções, atualizações e exclusões no site do Event Producer para documentos que possuem consumidores."
Main Section (Markdown),Seção Principal (Remarcação)
Main Section (HTML),Seção Principal (HTML)
Log Data,Dados de log
Local Document Type,Tipo de Documento Local
Loading import file...,Carregando arquivo de importação ...
Link Fieldname,Nome do campo do link
Link Document Type,Tipo de Documento de Link
Last refreshed,Última atualização
Last Update,Última atualização
Last Sync On,Última sincronização em
Last Execution,Última Execução
Last Backup On,Último backup ativado
Last,Último
Landscape,Panorama
LDAP User Creation and Mapping,Criação e Mapeamento de Usuários LDAP
LDAP Phone Field,Campo de telefone LDAP
LDAP Mobile Field,Campo Móvel LDAP
LDAP Middle Name Field,Campo de nome do meio LDAP
LDAP Last Name Field,Campo Sobrenome LDAP
LDAP Group Mappings,Mapeamentos de grupo LDAP
LDAP Group Mapping,Mapeamento do Grupo LDAP
LDAP Group Field,Campo do Grupo LDAP
LDAP Group,Grupo LDAP
Keyboard Shortcuts,Atalhos do teclado
Jump to field,Ir para o campo
Job,Trabalho
Javascript is disabled on your browser,Javascript está desativado em seu navegador
JSON Request Body,Corpo da solicitação JSON
Is Tree,É árvore
Is Primary Phone,É o telefone principal
Is Primary Mobile,É o celular principal
Is Primary,É primário
Invalid username or password,nome de usuário ou senha inválidos
Invalid include path,Caminho de inclusão inválido
Invalid file URL. Please contact System Administrator.,URL de arquivo inválido. Entre em contato com o administrador do sistema.
Invalid field name: {0},Nome do campo inválido: {0}
Invalid URL,URL inválida
Invalid Filter Value,Valor de filtro inválido
Incoming Change,Mudança de entrada
Include indentation,Incluir recuo
"Importing {0} of {1}, {2}","Importando {0} de {1}, {2}"
Importing {0} of {1},Importando {0} de {1}
Import template should contain a Header and atleast one row.,"O modelo de importação deve conter um cabeçalho e, pelo menos, uma linha."
"Import template should be of type .csv, .xlsx or .xls","O modelo de importação deve ser do tipo .csv, .xlsx ou .xls"
Import Warnings,Avisos de importação
Import Type,Tipo de Importação
Import Progress,Progresso da importação
Import Preview,Visualização de importação
Import Log Preview,Visualização do registro de importação
Import File,Importar arquivo
Illegal SQL Query,Consulta SQL ilegal
If this is checked the documents will have the same name as they have on the Event Producer's site,"Se esta opção estiver marcada, os documentos terão o mesmo nome do site do Produtor de Eventos"
If the document has different field names on the Producer and Consumer's end check this and set up the Mapping,"Se o documento tiver nomes de campos diferentes no final do produtor e do consumidor, verifique isso e configure o mapeamento"
"If non-standard port (e.g. POP3: 995/110, IMAP: 993/143)","Se porta não padrão (por exemplo, POP3: 995/110, IMAP: 993/143)"
Hourly Long,Por hora
Has Mapping,Possui mapeamento
HTML Page,Página HTML
HOOK-.####,GANCHO-.####
HH:mm:ss,HH: mm: ss
HH:mm,HH: mm
Group By field is required to create a dashboard chart,O campo Agrupar por é necessário para criar um gráfico de dashboard
Group By Type,Agrupar por tipo
Group By Based On,Agrupar por Com base em
Group By,Agrupar por
Google Settings,Configurações do Google
Google Integration is disabled.,A integração do Google está desativada.
Google Drive has been configured.,O Google Drive foi configurado.
Google Drive Integration.,Integração com o Google Drive.
Google Drive Backup.,Backup do Google Drive.
Google Drive Backup Successful.,Backup do Google Drive bem-sucedido.
Google Drive - Could not find folder in Google Drive - Error Code {0},Google Drive - Não foi possível encontrar a pasta no Google Drive - Código de erro {0}
Google Drive - Could not create folder in Google Drive - Error Code {0},Google Drive - Não foi possível criar a pasta no Google Drive - Código de erro {0}
Google Drive,Google Drive
Google Contacts has been configured.,O Contatos do Google foi configurado.
Google Contacts Integration.,Integração de Contatos do Google.
Google Contacts Integration is disabled.,A integração de contatos do Google está desativada.
Google Contacts Id,ID de contatos do Google
"Google Contacts - Could not update contact in Google Contacts {0}, error code {1}.","Contatos do Google - Não foi possível atualizar o contato nos Contatos do Google {0}, código de erro {1}."
"Google Contacts - Could not sync contacts from Google Contacts {0}, error code {1}.","Contatos do Google - Não foi possível sincronizar contatos dos Contatos do Google {0}, código de erro {1}."
Google Contacts,Contatos do Google
Google Calendar has been configured.,O Google Agenda foi configurado.
Google Calendar Integration.,Integração com o Google Agenda.
Google Calendar Event ID,ID do evento do Google Agenda
"Google Calendar - Could not update Event {0} in Google Calendar, error code {1}.","Google Agenda - Não foi possível atualizar o Evento {0} no Google Agenda, código de erro {1}."
"Google Calendar - Could not insert event in Google Calendar {0}, error code {1}.","Google Agenda - Não foi possível inserir o evento no Google Agenda {0}, código de erro {1}."
"Google Calendar - Could not insert contact in Google Contacts {0}, error code {1}.","Google Agenda - Não foi possível inserir o contato nos Contatos do Google {0}, código de erro {1}."
"Google Calendar - Could not fetch event from Google Calendar, error code {0}.","Google Agenda - Não foi possível buscar o evento no Google Agenda, código de erro {0}."
"Google Calendar - Could not delete Event {0} from Google Calendar, error code {1}.","Google Agenda - Não foi possível excluir o Evento {0} do Google Agenda, código de erro {1}."
"Google Calendar - Could not create Calendar for {0}, error code {1}.","Google Agenda - Não foi possível criar a Agenda para {0}, código de erro {1}."
Google Calendar,Agenda do Google
Google API Settings.,Configurações da API do Google.
Go to previous record,Ir para o registro anterior
Go to next record,Vai para o próximo registro
Go,Ir
Global Shortcuts,Atalhos Globais
created,criou
Global Search Settings,Configurações globais de pesquisa
Global Search Document Types Reset.,Redefinir tipos de documentos de pesquisa global.
Global Search DocType,DocType de pesquisa global
From User,Do Usuário
From Date,Data De
Frequently Visited Links,Links visitados frequentemente
Form URL-Encoded,Codificado em URL do formulário
"For performance, only the first 100 rows were processed.","Para desempenho, apenas as primeiras 100 linhas foram processadas."
"For more information, {0}.","Para mais informações, {0}."
"For more information, click here.","Para mais informações, <a class=""text-muted"" href=""https://erpnext.com/docs/user/manual/en/setting-up/email/linking-emails-to-document"">clique aqui</a> ."
For Document Event,Para evento de documento
First,Primeiro
Finished,Acabado
Filters applied for {0},Filtros aplicados para {0}
Filtered Records,Registros Filtrados
Filter By,Filtrar por
File Information,Informações do arquivo
Field To Check,Campo a verificar
Fetching posts...,Buscando postagens ...
Fetching default Global Search documents.,Buscando documentos padrão da Pesquisa Global.
Failure,Falha
Failed to create an Event Consumer or an Event Consumer for the current site is already registered.,Falha ao criar um Consumidor de Eventos ou Consumidor de Eventos para o site atual já está registrado.
Failed to connect to the Event Producer site. Retry after some time.,Falha ao conectar ao site do Event Producer. Tente novamente após algum tempo.
Export {0} records,Exportar {0} registros
Export Type,Tipo de exportação
Export From,Exportar de
Export Errored Rows,Exportar linhas com erro
Export 1 record,Exportar 1 registro
Event Update Log,Log de Atualização de Eventos
Event Synced with Google Calendar.,Evento sincronizado com o Google Agenda.
Event Sync Log,Log de Sincronização de Eventos
Event Subscriber,Assinante do Evento
Event Streaming,Fluxo de Eventos
Event Producer Document Types,Tipos de documento do produtor de eventos
Event Producer Document Type,Tipo de documento do produtor de eventos
Event Producer,Produtor de Eventos
Event Consumer Document Types,Tipos de documento do consumidor do evento
Event Consumer Document Type,Tipo de documento do consumidor do evento
Event Consumer,Consumidor de Eventos
Event Configurations,Configurações de evento
Enter Code displayed in OTP App.,Digite o código exibido no aplicativo OTP.
Enter Client Id and Client Secret in Google Settings.,Digite o ID do cliente e o segredo do cliente nas Configurações do Google.
Energy Point,Ponto de energia
Enable Security,Ativar segurança
Enable Google API in Google Settings.,Ative a API do Google nas configurações do Google.
Enable Email Notifications,Ativar notificações por email
Enable Automatic Linking in Documents,Ativar Vinculação Automática em Documentos
Enable Allow Auto Repeat for the doctype {0} in Customize Form,Ativar Permitir repetição automática para o tipo de documento {0} em Personalizar formulário
Email IDs,IDs de email
"Email ID must be unique, Email Account already exists for {0}",O ID do email deve ser exclusivo. A conta de email já existe para {0}
Email Address whose Google Contacts are to be synced.,Endereço de e-mail cujos contatos do Google devem ser sincronizados.
Email Account setup please enter your password for: {0},"Configuração da conta de e-mail, digite sua senha para: {0}"
Email / Notifications,Email / Notificações
ERPNext Role,Função ERPNext
Dynamic Template,Modelo dinâmico
Drop files here,Solte arquivos aqui
Drop Here,Solta aqui
Drop,Solta
"Drag and drop files,","Arraste e solte arquivos,"
Don't Send Emails,Não envie emails
Don't Import,Não importe
Documentation Link,Link da documentação
Document type is required to create a dashboard chart,O tipo de documento é necessário para criar um gráfico de dashboard
Document renamed from {0} to {1},Documento renomeado de {0} para {1}
Document Type {0} has been repeated.,O tipo de documento {0} foi repetido.
Document Type Mapping,Mapeamento do tipo de documento
Document Type Field Mapping,Mapeamento de campos do tipo de documento
Document Title,Título do documento
Document Tag,Etiqueta de Documento
Document Share,Compartilhamento de Documentos
DocType Link,Link DocType
DocType Event,Evento DocType
DocType Action,Ação DocType
Do you want to cancel all linked documents?,Deseja cancelar todos os documentos vinculados?
Delete All,Excluir tudo
Default {0},Padrão {0}
Default Theme,Tema Padrão
Default Role on Creation,Função Padrão na Criação
Daily Long,Diário Longo
Daily Events should finish on the Same Day.,Os eventos diários devem terminar no mesmo dia.
Cron Format,Formato Cron
Cron,Cron
Created {0} records successfully.,Criou {0} registros com sucesso.
Create your first {0},Crie seu primeiro {0}
Create Log,Criar log
Could not create razorpay order,Não foi possível criar a ordem razorpay
Could not create Razorpay order. Please contact Administrator,Não foi possível criar o pedido Razorpay. Entre em contato com o administrador
Core Modules {0} cannot be searched in Global Search.,Os módulos principais {0} não podem ser pesquisados na Pesquisa Global.
Copied to clipboard.,Copiado para a área de transferência.
Controller method get_razorpay_order missing,Falta o método get_razorpay_order do controlador
Contributed,Contribuído
Contribute Translations,Contribuir Traduções
Context,Contexto
Contact Synced with Google Contacts.,Contato sincronizado com os contatos do Google.
Contact Phone,telefone de contato
Contact Numbers,Números de contato
Contact Email,Email de Contato
"Configure notifications for mentions, assignments, energy points and more.","Configure notificações para menções, atribuições, pontos de energia e muito mais."
Columns / Fields,Colunas / Campos
Close Condition,Fechar Condição
Click on {0} to generate Refresh Token.,Clique em {0} para gerar o Token de Atualização.
Click on the lock icon to toggle public/private,Clique no ícone de cadeado para alternar entre público / privado
Click on the link below to approve the request,Clique no link abaixo para aprovar o pedido
Click on a file to select it.,Clique em um arquivo para selecioná-lo.
Click on Authorize Google Drive Access to authorize Google Drive Access.,Clique em <b>Autorizar acesso</b> ao Google Drive para autorizar o <b>acesso</b> ao Google Drive.
Clear Filters,Limpar filtros
Clear Cache and Reload,Limpar cache e recarregar
Check the Error Log for more information: {0},Verifique o log de erros para mais informações: {0}
Change User,Mudar usuário
Change,mudança
Cannot match column {0} with any field,Não é possível combinar a coluna {0} com nenhum campo
Cancelling documents,Cancelando documentos
Cancel All Documents,Cancelar todos os documentos
Callback URL,URL de retorno de chamada
Blank Template,Modelo em branco
Before Submit,Antes de enviar
Before Save (Submitted Document),Antes de salvar (documento enviado)
Before Save,Antes de salvar
Before Insert,Antes da inserção
Before Delete,Antes de excluir
Before Cancel,Antes de Cancelar
Backup Folder Name,Nome da pasta de backup
Backup Folder ID,ID da pasta de backup
Backing up to Google Drive.,Fazendo backup no Google Drive.
Automatically generates recurring documents.,Automaticamente gera documentos recorrentes.
Automatic Linking can be activated only if Incoming is enabled.,O Link automático só pode ser ativado se a Entrada estiver ativada.
Automatic Linking can be activated only for one Email Account.,O link automático pode ser ativado apenas para uma conta de e-mail.
Auto Repeat failed for {0},A repetição automática falhou para {0}
Auto Repeat created for this document,Repetição automática criada para este documento
Auto Repeat Document Creation Failure,Falha na criação de documentos de repetição automática
Auto Repeat Document Creation Failed,Falha na criação de documentos de repetição automática
Authorize Google Drive Access,Autorizar acesso ao Google Drive
Authorize Google Contacts Access,Autorizar o acesso dos Contatos do Google
Authorize Google Calendar Access,Autorizar acesso ao Google Agenda
Attach a web link,Anexar um link da web
Assignments,atribuições
Assignment Rule Day,Dia da regra de atribuição
Assignment Days,Dias de atribuição
Assignment Day {0} has been repeated.,O dia da tarefa {0} foi repetido.
Are you sure you want to merge {0} with {1}?,Tem certeza de que deseja mesclar {0} com {1}?
Are you sure you want to delete this post?,Tem certeza de que deseja excluir esta postagem?
Are you sure you want to delete all rows?,Tem certeza de que deseja excluir todas as linhas?
Approved,Aprovado
Approval Required,Aprovação necessária
Apply this rule only once per document,Aplique esta regra apenas uma vez por documento
Apply Only Once,Aplicar apenas uma vez
Apply Assignment Rule,Aplicar regra de atribuição
Append Emails to Sent Folder,Anexar emails à pasta enviada
Annual,Anual
An error occurred while setting Session Defaults,Ocorreu um erro ao definir os Padrões da Sessão
Also adding the status dependency field {0},Incluindo também o campo de dependência do status {0}
Allow Guests to Upload Files,Permitir que os convidados façam upload de arquivos
Allow Guest,Permitir convidado
Allow Google Drive Access,Permitir acesso ao Google Drive
Allow Google Contacts Access,Permitir acesso aos Contatos do Google
Allow Google Calendar Access,Permitir acesso ao Google Agenda
Allow Auto Repeat,Permitir repetição automática
Allot Points To Assigned Users,Atribuir pontos aos usuários atribuídos
All Records,Todos os registros
Aggregate Function field is required to create a dashboard chart,O campo Função Agregada é necessário para criar um gráfico de dashboard
Aggregate Function Based On,Função agregada com base em
After Submit,Após o envio
After Save (Submitted Document),Após salvar (documento enviado)
After Save,Após salvar
After Delete,Após Excluir
After Cancel,Após Cancelar
Administration,Administração
Add Fields,Adicionar campos
Activity Log by,Log de atividades por
Action Type,Tipo de acão
Access not allowed from this IP Address,Acesso não permitido deste endereço IP
Access Log,Log de acesso
About {0} seconds remaining,Cerca de {0} segundos restantes
About {0} minutes remaining,Cerca de {0} minutos restantes
About {0} minute remaining,Cerca de {0} minuto restante
API Method,Método API
API,API
A recurring {0} {1} has been created for you via Auto Repeat {2}.,Um {0} {1} recorrente foi criado para você através da Repetição automática {2}.
5 Records,5 registros
1 week ago,1 semana atrás
1 record will be exported,1 registro será exportado
1 Google Calendar Event synced.,1 Evento do Google Agenda sincronizado.
(Mandatory),(Obrigatório)
amended_from field must be present to do an amendment.,O campo &quot;alterado_de&quot; deve estar presente para fazer uma alteração.
{0} values selected,{0} valores selecionados
Workflow Action is not created for optional states,A ação do fluxo de trabalho não é criada para estados opcionais
View Ref,Visualizar Ref
No values to show,Nenhum valor para mostrar
Is Optional State,É estado opcional
Fieldname {0} is restricted,O nome do campo {0} é restrito
Applying: {0},Aplicando: {0}
A user who posts blogs.,Um usuário que posta blogs.
Make {0},Faça {0}
{0}:Fieldtype {1} for {2} cannot be indexed,{0}: o tipo de campo {1} para {2} não pode ser indexado
{0}: Options {1} must be the same as doctype name {2} for the field {3},{0}: as opções {1} devem ser as mesmas que o nome do tipo de documento {2} para o campo {3}
{0}: Options required for Link or Table type field {1} in row {2},{0}: Opções necessárias para o campo Tipo de link ou tabela {1} na linha {2}
{0}: Options must be a valid DocType for field {1} in row {2},{0}: as opções devem ser um DocType válido para o campo {1} na linha {2}
{0}: Fieldtype {1} for {2} cannot be unique,{0}: o tipo de campo {1} para {2} não pode ser exclusivo
{0}: Fieldname {1} appears multiple times in rows {2},{0}: O nome do campo {1} aparece várias vezes nas linhas {2}
{0}: Field {1} of type {2} cannot be mandatory,{0}: o campo {1} do tipo {2} não pode ser obrigatório
{0}: Field {1} in row {2} cannot be hidden and mandatory without default,{0}: o campo {1} na linha {2} não pode ser oculto e obrigatório sem padrão
{0}: Field '{1}' cannot be set as Unique as it has non-unique values,"{0}: o campo &#39;{1}&#39; não pode ser definido como Único, pois possui valores não exclusivos"
{0} must be after {1},{0} deve ser depois de {1}
Workflow State transition not allowed from {0} to {1},Transição do estado do fluxo de trabalho não permitida de {0} para {1}
The password of your account has expired.,A senha da sua conta expirou.
Last Password Reset Date,Data da última redefinição de senha
In Days,Em dias
Force User to Reset Password,Forçar usuário a redefinir a senha
Communication Link,Link de comunicação
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} não é padrão para nome de campo válido. Deve ser {{field_name}}.
{app_title},{app_title}
{0}: {1} is set to state {2},{0}: {1} está configurado para declarar {2}
{0}: {1} in {2},{0}: {1} em {2}
{0}: Permission at level 0 must be set before higher levels are set,{0} : permissão no nível 0 deve ser definida antes de definir os níveis mais altos
"{0}: Only one rule allowed with the same Role, Level and {1}","{0}: Apenas uma regra de permissão com a mesma função, nível e {1}"
{0}: No basic permissions set,{0}: Nenhum conjunto de permissões básico
{0}: Cannot set import as {1} is not importable,{0}: Não é possível definir importação como {1} se não é importável
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: Não é possível definir Enviar, Cancelar, Alterar sem Salvar"
{0}: Cannot set Import without Create,{0}: Não é possível definir Importação sem Criar
{0}: Cannot set Cancel without Submit,{0}: Não é possível definir Cancelar sem Submeter
{0}: Cannot set Assign Submit if not Submittable,{0}: Não é possível definir atributo Enviar se não pode ser enviado
{0}: Cannot set Assign Amend if not Submittable,{0}: Não é possível definir atributo Corrigir se não pode ser enviado
{0}: Cannot set Amend without Cancel,{0}: Não é possível definir Amend sem Cancelar
"{0}: '{1}' ({3}) will get truncated, as max characters allowed is {2}","{0}: '{1}' ({3}) vai ficar truncado, pois os caracteres máximos permitidos são {2}"
"{0}, Row {1}","{0}, Linha {1}"
{0} {1} to {2},{0} {1} para {2}
{0} {1} not found,{0} {1} não encontrado
"{0} {1} does not exist, select a new target to merge","{0} {1} não existe , selecione um novo alvo para mesclar"
{0} {1} cannot be a leaf node as it has children,"{0} {1} não pode ser um nó de extremidade , uma vez que tem filhos"
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""","{0} {1} não pode ser ""{2}"". Deve pertencer a ""{3}"""
{0} {1} already exists,{0} {1} já existe
{0} {1} added,{0} {1} adicionado
{0} weeks ago,{0} semanas atrás
{0} updated,{0} atualizado(a)
{0} un-shared this document with {1},{0} descompartilhou este documento com {1}
{0} to {1},{0} para {1}
{0} to stop receiving emails of this type,{0} para parar de receber e-mails desse tipo
{0} subscribers added,{0} assinantes acrescentados
{0} shared this document with {1},{0} compartilhou este documento com {1}
{0} shared this document with everyone,{0} compartilhou este documento com todos
{0} self assigned this task: {1},{0} self designou esta tarefa: {1}
{0} saved successfully,{0} salvo com sucesso
{0} rows for {1},{0} linhas para {1}
{0} room must have atmost one user.,{0} sala deve ter no máximo um usuário.
{0} reverted {1},{0} revertido {1}
{0} reverted your points on {1},{0} reverteu seus pontos em {1}
{0} reverted your point on {1},{0} reverteu seu ponto em {1}
{0} records deleted,{0} registros excluídos
{0} record deleted,{0} registro excluído
{0} or {1},{0} ou {1}
{0} of {1},{0} de {1}
{0} not found,{0} não encontrado
{0} not allowed to be renamed,não é permitido renomear {0}
{0} not a valid State,{0} não é um status válido
{0} must be unique,{0} já foi cadastrado e deve ser único
{0} must be set first,{0} deve ser definida primeiro
{0} must be one of {1},{0} deve fazer parte de {1}
{0} months ago,{0} meses atrás
{0} minutes ago,{0} minutos atrás
{0} logged out: {1},{0} deslogado: {1}
{0} logged in,{0} logado(s)
{0} items selected,{0} itens selecionados
{0} is saved,{0} foi salvo
{0} is now default print format for {1} doctype,{0} agora é o formato de impressão padrão para o doctype {1}
{0} is not a valid Workflow State. Please update your Workflow and try again.,{0} não é um estado válido do fluxo de trabalho. Atualize seu fluxo de trabalho e tente novamente.
{0} is not a valid Email Address,{0} não é um endereço de email válido
{0} is not a raw printing format.,{0} não é um formato de impressão não processado.
{0} is an invalid email address in 'Recipients',{0} é um endereço de e-mail inválido em &#39;Destinatários&#39;
{0} is a mandatory field,{0} é um campo obrigatório
{0} in row {1} cannot have both URL and child items,{0} na linha {1} não pode ter URL e Itens vinculados ao mesmo tempo
{0} hours ago,{0} horas atrás
{0} has left the conversation in {1} {2},{0}  deixou a conversa em {1} {2}
{0} has been successfully added to the Email Group.,"{0} foi adicionado com sucesso ao grupo de emails,"
{0} has already assigned default value for {1}.,{0} já atribuiu o valor padrão para {1}.
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","{0} campo não pode ser definido como único em {1}, pois há valores duplicados existentes"
{0} does not exist in row {1},{0} não existe em linha {1}
{0} days ago,{0} dias atrás
{0} criticized {1},{0} criticou {1}
{0} criticized your work on {1} with {2} points,{0} criticou seu trabalho em {1} com {2} pontos
{0} criticized your work on {1} with {2} point,{0} criticou seu trabalho em {1} com {2} ponto
{0} criticized on {1},{0} criticado em {1}
{0} criticism points for {1} {2},{0} pontos de criticismo para {1} {2}
{0} criticism point for {1} {2},{0} ponto de crítica para {1} {2}
{0} created successfully,{0} criado com sucesso
{0} comments,{0} comentários
{0} cannot be set for Single types,{0} não pode ser ajustada para os modelos únicos
{0} assigned {1}: {2},{0} atribuído {1}: {2}
{0} appreciation points for {1} {2},{0} pontos de apreciação para {1} {2}
{0} appreciation point for {1} {2},{0} ponto de apreciação para {1} {2}
{0} appreciated {1},{0} apreciado {1}
{0} appreciated your work on {1} with {2} points,{0} apreciou seu trabalho em {1} com {2} pontos
{0} appreciated your work on {1} with {2} point,{0} apreciou seu trabalho em {1} com {2} ponto
{0} appreciated on {1},{0} apreciado em {1}
{0} and {1},{0} e {1}
{0} already unsubscribed for {1} {2},{0} já teve sua sua inscrição cancelada para {1} {2}
{0} already unsubscribed,{0} já teve sua inscrição removida
{0} already exists. Select another name,{0} já existe. Selecione outro nome
{0} added,{0} adicionado
{0} Tree,Árvore de {0}
{0} Settings not found,{0} Configurações não encontradas
{0} Report,Relatório de {0}
{0} Modules,{0} módulos
{0} List,Lista de {0}
{0} Dashboard,{0} Dashboard
{0} Chart,{0} Gráfico
{0} Calendar,{0} Calendário
zoom-out,diminuir zoom
zoom-in,aumentar zoom
yyyy-mm-dd,dd/mm/yyyy
wrench,chave inglesa
warning-sign,sinal de alerta
volume-up,aumentar volume
volume-off,mudo
volume-down,diminuir volume
viewed,visto
via automatic rule {0} on {1},via regra automática {0} em {1}
values separated by commas,valores separados por vírgulas
use % as wildcard,usar % como coringa
us-west-2,us-west-2
us-west-1,us-west-1
us-east-2,us-east-2
us-east-1,us-east-1
updated to {0},atualizado para {0}
toggle Tag,alternar Tag
tint,matiz
thumbs-up,polegar para cima
thumbs-down,polegar para baixo
th-list,ª-lista
th-large,ª-grande
th,ª
text-width,largura de texto
text-height,altura de texto
text in document type,texto em tipo de documento
submitted this document,enviou este documento
step-forward,prosseguir
step-backward,voltar
star-empty,sem estrela
star,estrela
signal,sinalizar
show,mostrar
shopping-cart,carrinho de compras
share-alt,partes-alt
screenshot,captura de tela
sa-east-1,sa-east-1
road,estrada
retweet,retwitar
restored {0} as {1},restaurado {0} como {1}
resize-vertical,redimensionamento vertical
resize-small,redimensionamento pequeno
resize-horizontal,redimensionamento horizontal
resize-full,redimensionamento completo
repeat,repetir
renamed from {0} to {1},renomeado de {0} para {1}
removed,removido
remove-sign,remover-assinar
remove-circle,remove-círculo
question-sign,ponto de interrogação
query-report,relatório-de-consulta
qrcode,QRCode
plus-sign,sinal de mais
plus,mais
play-circle,jogo-círculo
play,jogar
plane,avião
picture,imagem
pencil,lápis
pause,pausar
or,ou
only.,apenas.
on_update_after_submit,on_update_after_submit
on_update,on_update
on_trash,on_trash
on_submit,on_submit
on_change,em mudança
on_cancel,on_cancel
ok-sign,ok-sinal
ok-circle,ok-círculo
ok,ok
none of,nenhum
no failed attempts,tentativas não falharam
new type of document,novo tipo de documento
module name...,nome do módulo ...
mm/dd/yyyy,mm/dd/aaaa
mm-dd-yyyy,mm-dd-aaaa
minus-sign,sinal de menos
minus,menos
merged {0} into {1},Combinado {0} com {1}
map-marker,marcador do mapa
magnet,ímã
list-alt,lista de alt-
lightblue,azul claro
leaf,folha
just now,agora mesmo
john@doe.com,john@doe.com
italic,itálico
info-sign,Sinal de Informações
indent-right,indentar à direita
indent-left,indentar à esquerda
hub,Hub
heart,coração
headphones,fones de ouvido
hdd,hdd
hand-up,mão acima
hand-right,mão à direita
hand-left,mão à esquerda
hand-down,mão abaixo
globe,globo
glass,vidro
gift,presente
gave {0} points,deu {0} pontos
gained {0} points,ganhou {0} pontos
gained by {0} via automatic rule {1},ganho por {0} via regra automática {1}
fullscreen,tela cheia
folder-open,abrir pasta
folder-close,fechar pasta
fire,fogo
film,filme
fast-forward,avanço rápido
fast-backward,retrocesso rápido
fairlogin,fairlogin
facetime-video,vídeo do facetime
eye-open,olho aberto
eye-close,olho fechado
exclamation-sign,sinal de exclamação
eu-west-3,eu-oeste-3
eu-west-2,eu-oeste-2
eu-west-1,eu-west-1
eu-north-1,eu-north-1
eu-central-1,eu-central-1
envelope,envelope
eject,ejetar
e.g.:,ex:
e.g. smtp.gmail.com,ex: smtp.gmail.com
e.g. replies@yourcomany.com. All replies will come to this inbox.,eg replies@yourcomany.com. Todas as respostas virão a esta caixa de entrada.
e.g. pop.gmail.com / imap.gmail.com,ex: pop.gmail.com / imap.gmail.com
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,por exemplo (55 + 434) / 4 ou = Math.sin (Math.PI / 2) ...
"e.g. ""Support"", ""Sales"", ""Jerry Yang""","ex: ""Pós-Venda"", "" Vendas "", ""Edmilson"""
download-alt,download-alt
domain name,nome de domínio
"document type..., e.g. customer","Tipo de documento ..., por exemplo: cliente"
dd/mm/yyyy,dd/mm/aaaa
dd.mm.yyyy,dd.mm.aaaa
dd-mm-yyyy,dd-mm-aaaa
darkgrey,cinza escuro
cog,roda dentada
cn-northwest-1,cn-northwest-1
cn-north-1,cn-north-1
circle-arrow-up,círculo de seta para cima
circle-arrow-right,círculo de seta à direita
circle-arrow-left,círculo de seta para a esquerda
circle-arrow-down,círculo de seta para baixo
chevron-up,divisa-acima
chevron-right,divisa-direito
chevron-left,divisa-esquerda
chevron-down,divisa-abaixo
changed values for {0},mudou o valor para {0}
changed value of {0},mudou o valor de {0}
cancelled this document,cancelou este documento
camera,câmera
ca-central-1,ca-central-1
bullhorn,megafone
briefcase,pasta
bookmark,favorito
bell,sino
ban-circle,círculo de proibição
backward,para trás
asterisk,asterisco
arrow-up,seta para cima
arrow-right,seta para a direita
arrow-left,seta para a esquerda
arrow-down,seta para baixo
ap-southeast-2,ap-southeast-2
ap-southeast-1,ap-southeast-1
ap-south-1,ap-south-1
ap-northeast-3,ap-northeast-3
ap-northeast-2,ap-northeast-2
ap-northeast-1,ap-northeast-1
align-right,Alinhar à direita
align-left,Alinhar à esquerda
align-justify,Justificar
align-center,Centralizar
after_insert,after_insert
adjust,ajustar
_report,_relatório
_doctype,_doctype
